机型,章节号,英文说明,说明,所属章号,章号说明
737-678,238000,integrated automatic tuning,集成自动调谐,23, 通信系统
737-678,238100,pc power system,pc电源系统,23, 通信系统
737-678,238200,flight compartment pc power system,驾驶舱pc电源系统,23, 通信系统
737-678,239000,data bus system communications,数据总线通讯,23, 通信系统
737-678,239100,arinc 629 multi-transmitter data bus,arinc 629多收发机数据总线,23, 通信系统
737-678,239200,cardfiles arinc 629 bus interface,arinc 629总线接口,23, 通信系统
737-678,239300,overhead panel arinc 629 system,顶班arinc 629系统,23, 通信系统
737-678,239400,onboard local area network,机上本地网络,23, 通信系统
737-678,239500,wireless local area network,无线本地网络,23, 通信系统
737-678,240000,electrical power,电源,24, 电源系统
737-678,241000,generator drive,发电机驱动,24, 电源系统
737-678,241100,ac generator drive system,交流发电机驱动系统,24, 电源系统
737-678,242000,ac generation,交流发电,24, 电源系统
737-678,242100,ac generation system,交流发电系统,24, 电源系统
737-678,242200,manual control,人工控制,24, 电源系统
737-678,243000,dc generation,直流发电,24, 电源系统
737-678,243100,dc generation system,直流发电系统,24, 电源系统
737-678,243400,standby power system,备用电源系统,24, 电源系统
737-678,244000,external power,外电源,24, 电源系统
737-678,244100,ac external power,交流外电源,24, 电源系统
737-678,245000,ac electrical load distribution,交流电负载分配,24, 电源系统
737-678,245100,main 115-v ac power distribution,主115v交流电源分配,24, 电源系统
737-678,245200,28 v ac power distribution,28v交流电源分配,24, 电源系统
737-678,245400,medical outlet system,医疗插座系统,24, 电源系统
737-678,245500,gupf power distribution,gupf电源分配,24, 电源系统
737-678,246000,dc electrical load distribution,直流电负载分配,24, 电源系统
737-678,246100,dc power distribution,直流电分配,24, 电源系统
737-678,247000,primary and secondary power,主要及次要电源,24, 电源系统
737-678,250000,equipment / furnishings,设备与装饰,25, 设备装饰
737-678,250900,passenger compartment conversions,客舱转换,25, 设备装饰
737-678,251000,flight compartment,驾驶舱,25, 设备装饰
737-678,251100,flight compartment equipment,驾驶舱设备,25, 设备装饰
737-678,252100,passenger compartment,客舱,25, 设备装饰
737-678,252200,passenger seats,旅客座椅,25, 设备装饰
737-678,252300,service units,旅客服务组件,25, 设备装饰
737-678,252400,passenger cabin partitions and compartme,客舱隔板与隔间,25, 设备装饰
737-678,252500,cabin attendant stations,乘务员工作站,25, 设备装饰
737-678,252700,passenger cabin floor covering,客舱地毯,25, 设备装饰
737-678,252900,passenger and cabin attendant accommodat,机组休息区,25, 设备装饰
737-678,253000,buffet / galley,厨房,25, 设备装饰
737-678,253100,galley,厨房,25, 设备装饰
737-678,253200,galley equipment,厨房设备,25, 设备装饰
737-678,254000,lavatories,厕所,25, 设备装饰
737-678,254100,lavatory compartment,厕所,25, 设备装饰
737-678,254200,lavatory equipment,厕所设备,25, 设备装饰
737-678,254400,payloads electrical,厕所电源,25, 设备装饰
737-678,255000,additional compartments,其它舱室,25, 设备装饰
737-678,255100,sliding carpet loading system,货板装载系统,25, 设备装饰
737-678,255200,cargo compartment,货舱,25, 设备装饰
737-678,255400,main deck cargo handling system,主货舱装载系统,25, 设备装饰
737-678,256000,emergency,紧急设备,25, 设备装饰
737-678,256100,door equipment,门这边,25, 设备装饰
737-678,256300,emergency evacuation signal system,撤离信号设备,25, 设备装饰
737-678,256400,detachable emergency equipment,可拆卸应急设备,25, 设备装饰
737-678,256600,door-mounted escape system,门上撤离系统,25, 设备装饰
737-678,256700,midcabin door-mounted escape system,中舱门上撤离系统,25, 设备装饰
737-678,257000,accessory compartments,附件舱,25, 设备装饰
737-678,257100,electrical equipment rack moisture shrou,电子设备架防潮板,25, 设备装饰
737-678,258000,insulation,机身隔热垫,25, 设备装饰
737-678,260000,fire protection,防火,26, 防火系统
737-678,261000,detection,探测,26, 防火系统
737-678,261100,engine fire detection,发动机火警探测,26, 防火系统
737-678,261400,lavatory smoke detection,厕所烟雾探测,26, 防火系统
737-678,261500,apu fire detection system,apu火警探测系统,26, 防火系统
737-678,261600,cargo compartment smoke detection system,货舱烟雾探测,26, 防火系统
737-678,261800,"wheel well, wing, and lower aft body ove","轮舱,机翼,下部机身过热探测系统",26, 防火系统
737-678,261900,electrical and electronic cooling smoke,电气与电子冷却烟雾探测,26, 防火系统
737-678,262000,extinguishing,灭火,26, 防火系统
737-678,262100,engine fire extinguishing,发动机灭火,26, 防火系统
737-678,262200,apu fire extinguishing system,apu灭火,26, 防火系统
737-678,262300,cargo fire extinguishing system,货舱灭火,26, 防火系统
737-678,262400,lavatory fire extinguishing system,厕所垃圾箱灭火器,26, 防火系统
737-678,262600,portable fire extinguishers,便携式灭火瓶,26, 防火系统
737-678,263000,explosion suppression,爆炸抑制,26, 防火系统
737-678,270000,flight controls,飞行操纵,27, 飞行操纵
737-678,270900,miscellaneous flight control component,飞行操纵控制部件,27, 飞行操纵
737-678,271000,aileron and tab,副翼与配平片,27, 飞行操纵
737-678,271100,aileron and aileron trim control system,副翼与副翼配平控制系统,27, 飞行操纵
737-678,272000,rudder and tab,方向舵与配平板,27, 飞行操纵
737-678,272100,rudder and rudder trim control system,方向舵与方向度配平控制系统,27, 飞行操纵
737-678,272300,rudder hydraulic pressure,方向舵液压系统,27, 飞行操纵
737-678,272400,wheel-to-rudder interconnect system,驾驶盘到方向舵交联系统,27, 飞行操纵
737-678,273000,elevator and tab,升降舵及调整片,27, 飞行操纵
737-678,273100,elevator and tab control system,升降舵控制系统,27, 飞行操纵
737-678,273200,stall warning system,失速警告,27, 飞行操纵
737-678,274000,horizontal stabilizers,水平安定面,27, 飞行操纵
737-678,274100,horizontal stabilizer trim control syste,水平安定面配平与控制系统,27, 飞行操纵
737-678,275000,flaps,襟翼,27, 飞行操纵
737-678,275100,trailing edge flap system,后缘襟翼系统,27, 飞行操纵
737-678,275800,trailing edge flap position indication s,后缘襟翼位置指示系统,27, 飞行操纵
737-678,275900,flap skew detection system,后缘襟翼卡滞探测系统,27, 飞行操纵
737-678,276000,"spoiler, drag devices, and variable aero",扰流板,27, 飞行操纵
737-678,276100,flight spoiler control system,飞行扰流板控制系统,27, 飞行操纵
737-678,276200,speedbrake control system,减速板控制系统,27, 飞行操纵
737-678,277000,gust lock and dampener,阵风锁与减震系统,27, 飞行操纵
737-678,278000,lift augmenting,增升(缝翼),27, 飞行操纵
737-678,278100,leading edge flap and slat control syste,前缘缝翼系统,27, 飞行操纵
737-678,278300,leading edge autoslat system,前缘自动缝翼系统,27, 飞行操纵
737-678,278800,leading edge flap and slat position indi,前缘襟缝翼位置指示系统,27, 飞行操纵
737-678,280000,fuel,燃油,28, 燃油系统
737-678,281000,storage,燃油储存,28, 燃油系统
737-678,281100,integral fuel tanks,油箱,28, 燃油系统
737-678,281300,fuel vent system,油箱通气系统,28, 燃油系统
737-678,281400,auxiliary fuel system,备用油箱系统,28, 燃油系统
737-678,281500,center tank fuel scavenge system,中央邮箱回油系统,28, 燃油系统
737-678,282000,distribution,燃油分配,28, 燃油系统
737-678,282100,pressure fueling system,压力加油系统,28, 燃油系统
737-678,282200,engine fuel feed system,发动机供油系统,28, 燃油系统
737-678,282500,apu fuel feed system,apu供油系统,28, 燃油系统
737-678,282600,defueling,抽油,28, 燃油系统
737-678,283000,dump, ,28, 燃油系统
737-678,284000,indicating,燃油指示,28, 燃油系统
737-678,284100,fuel quantity indicating system,燃油量指示系统,28, 燃油系统
737-678,284200,fuel feed low pressure indicating system,燃油低压指示系统,28, 燃油系统
737-678,284300,fuel temperature indicating system,燃油温度指示系统,28, 燃油系统
737-678,284400,fuel measuring,油尺,28, 燃油系统
737-678,290000,hydraulic power,液压,29, 液压系统
737-678,290900,hydraulic reservoir pressurization syste,液压油箱增压系统,29, 液压系统
737-678,291000,main,主液压系统,29, 液压系统
737-678,291100,hydraulic systems a and b,液压系统(a和b),29, 液压系统
737-678,291800,ground servicing system,地面勤务系统,29, 液压系统
737-678,292000,auxiliary,辅助液压,29, 液压系统
737-678,292100,standby hydraulic system,备用液压系统,29, 液压系统
737-678,292200,hydraulic power transfer unit system,液压转换组件系统,29, 液压系统
737-678,292300,landing gear transfer valve control (ref,起落架转换活门控制,29, 液压系统
737-678,293000,indicating,液压指示,29, 液压系统
737-678,293100,hydraulic pressure indicating system,液压压力指示,29, 液压系统
737-678,293200,hydraulic fluid overheat warning system,液压油过热警告系统,29, 液压系统
737-678,293300,hydraulic fluid quantity indicating syst,液压油量指示,29, 液压系统
737-678,293400,pump low pressure warning system,液压泵低压警告系统,29, 液压系统
737-678,300000,ice and rain protection,防冰防雨,30, 防冰排雨
737-678,301000,airfoil,机翼,30, 防冰排雨
737-678,301100,wing thermal anti-icing system,机翼防冰,30, 防冰排雨
737-678,302000,air intakes,进气道,30, 防冰排雨
737-678,302100,inlet cowl anti-icing system,发动机进气道防冰系统,30, 防冰排雨
737-678,303000,pitot and static,皮托管,30, 防冰排雨
737-678,303100,"pitot tubes, temperature probe, and alph",皮托管防冰,30, 防冰排雨
737-678,304000,windows and windshields,"窗,风挡及门",30, 防冰排雨
737-678,304100,control cabin window anti-icing system,驾驶舱风挡防冰,30, 防冰排雨
737-678,304200,windshield wiper system,风挡雨刷系统,30, 防冰排雨
737-678,304300,rain repellent system,风挡防雨剂系统,30, 防冰排雨
737-678,305000,antennas and radomes,天线和雷达罩,30, 防冰排雨
737-678,307000,water lines,供水管路,30, 防冰排雨
737-678,307100,water and toilet drain anti-icing system,"供水,厕所排水管防冰系统",30, 防冰排雨
737-678,308000,detection,探测,30, 防冰排雨
737-678,308100,ice detection system,结冰探测,30, 防冰排雨
737-678,310000,indicating / recording systems,指示/记录系统,31, 仪表系统
737-678,311000,instrument and control panels,仪器和控制面板,31, 仪表系统
737-678,311100,pilots' panels,飞行员面板,31, 仪表系统
737-678,311500,cabin attendants' panels,乘务员面板,31, 仪表系统
737-678,312000,independent instruments,独立设备,31, 仪表系统
737-678,312500,clocks,时钟,31, 仪表系统
737-678,313000,recorders,记录器,31, 仪表系统
737-678,313100,flight data recorder system,飞行数据记录系统,31, 仪表系统
737-678,313200,data loading and recording system,数据装载与记录系统,31, 仪表系统
737-678,313300,printers,驾驶舱打印机,31, 仪表系统
737-678,313500,airplane condition monitoring system,多功能打印(打印机),31, 仪表系统
737-678,314000,central computers,中央计算机,31, 仪表系统
737-678,314300,central data loading,中央数据装载,31, 仪表系统
737-678,315000,central warning systems,中央警告系统,31, 仪表系统
737-678,315100,aural warning system,声音警告系统,31, 仪表系统
737-678,315200,master caution,主警告,31, 仪表系统
737-678,316000,central display systems,中央显示系统,31, 仪表系统
737-678,316200,common display system,通用显示系统,31, 仪表系统
737-678,317000,automatic data reporting systems,自动数据报告系统,31, 仪表系统
737-678,320000,landing gear,起落架,32, 起落架系统
737-678,320500,"corrosion, fatigue, and structural inspe","腐蚀,疲劳与结构检查方案",32, 起落架系统
737-678,320900,air/ground system,空地系统,32, 起落架系统
737-678,321000,main gear and doors,主轮和舱门,32, 起落架系统
737-678,321100,main landing gear,主轮,32, 起落架系统
737-678,321200,main landing gear wheel well blade-type,主轮舱门,32, 起落架系统
737-678,321300,main landing gear shock strut doors,主起减震支柱舱门,32, 起落架系统
737-678,322000,nose gear and doors,前轮和舱门,32, 起落架系统
737-678,322100,nose landing gear,前轮,32, 起落架系统
737-678,322200,nose landing gear doors,前轮舱门,32, 起落架系统
737-678,323000,extension and retraction,收放系统,32, 起落架系统
737-678,323100,landing gear control system,起落架控制系统,32, 起落架系统
737-678,323200,main landing gear extension and retracti,主起放下和收上系统,32, 起落架系统
737-678,323300,nose landing gear extension and retracti,前起放下和收上,32, 起落架系统
737-678,323400,main landing gear manual extension syste,主起人工放出系统,32, 起落架系统
737-678,323500,nose landing gear manual extension syste,前起人工放出系统,32, 起落架系统
737-678,324000,wheels and brakes,轮子和刹车,32, 起落架系统
737-678,324100,hydraulic brake system,液压刹车系统,32, 起落架系统
737-678,324200,antiskid/autobrake system,防滑/自动刹车系统,32, 起落架系统
737-678,324300,autobrake system,自动刹车系统,32, 起落架系统
737-678,324400,parking brake system,停留刹车系统,32, 起落架系统
737-678,324500,tires and wheels,机轮与轮胎,32, 起落架系统
737-678,324600,brake temperature monitoring system,刹车温度监控系统,32, 起落架系统
737-678,324900,tire pressure indication system,轮胎压力指示系统,32, 起落架系统
737-678,325000,steering,转弯系统,32, 起落架系统
737-678,325100,nose wheel steering system,前轮转弯系统,32, 起落架系统
737-678,326000,position and warning,位置和警告,32, 起落架系统
737-678,326100,landing gear position indicating and war,起落架位置指示与警告系统,32, 起落架系统
737-678,326200,supplemental landing gear position indic,辅助起落架位置指示与警告系统,32, 起落架系统
737-678,327000,supplementary gear,辅助轮,32, 起落架系统
737-678,327100,tail skid system,尾撬系统,32, 起落架系统
737-678,330000,lights,灯,33, 灯光系统
737-678,331000,flight compartment,驾驶舱灯,33, 灯光系统
737-678,331100,instrument and panel lights,设备与面板灯光,33, 灯光系统
737-678,331400,miscellaneous lights,驾驶舱杂项灯光,33, 灯光系统
737-678,331700,flight crew lights,机组灯光,33, 灯光系统
737-678,331800,master dim and test system,主暗亮与测试系统,33, 灯光系统
737-678,332000,passenger compartment,客舱灯,33, 灯光系统
737-678,332100,window lights,客舱一般照明,33, 灯光系统
737-678,332200,ceiling lights,顶板灯,33, 灯光系统
737-678,332300,reading lights,阅读灯,33, 灯光系统
737-678,332500,information signs,旅客阅读灯,33, 灯光系统
737-678,332600,work lights,工作灯,33, 灯光系统
737-678,332700,passenger and lavatory call lights,旅客与厕所呼叫灯光,33, 灯光系统
737-678,332900,entry lights,入口灯,33, 灯光系统
737-678,333000,cargo and service compartments,货舱和服务灯,33, 灯光系统
737-678,333200,wheel well lights,轮舱灯光,33, 灯光系统
737-678,333300,air conditioning compartment lights,空调舱灯光,33, 灯光系统
737-678,333400,electronic equipment compartment lights,电子设备舱灯光,33, 灯光系统
737-678,333500,accessory compartment lights,附件舱灯光,33, 灯光系统
737-678,333600,cargo compartment lights,货舱灯光,33, 灯光系统
737-678,334000,exterior,外部灯,33, 灯光系统
737-678,334100,wing illumination lights,机翼照明灯,33, 灯光系统
737-678,334200,landing lights,着陆灯,33, 灯光系统
737-678,334300,position lights,位置灯,33, 灯光系统
737-678,334600,airstair tread lights,登机梯踏灯,33, 灯光系统
737-678,334900,logo lights,航徽灯,33, 灯光系统
737-678,335000,emergency lighting,应急灯光,33, 灯光系统
737-678,335100,emergency lights,应急灯,33, 灯光系统
737-678,335500,emergency lighting rechargeable flashlig,应急灯可充电手电筒,33, 灯光系统
737-678,340000,navigation,导航,34, 导航系统
737-678,341000,flight environment data,飞行环境数据,34, 导航系统
737-678,341100,static and total air pressure system,"皮托管,静压管系统",34, 导航系统
737-678,341300,air data instruments,大气数据仪表,34, 导航系统
737-678,341600,mach airspeed warning system,马赫速度警告系统,34, 导航系统
737-678,341700,altitude alerting system,高度警告系统,34, 导航系统
737-678,342000,attitude and direction,高度与方位,34, 导航系统
737-678,342100,air data inertial reference system (adir,大气数据惯性基准系统,34, 导航系统
737-678,342200,radio  magnetic indicator,无线电磁指示器,34, 导航系统
737-678,342300,standby magnetic compass,备用磁罗盘,34, 导航系统
737-678,342400,standby attitude reference system,备用高度基准系统,34, 导航系统
737-678,342600,flight director system,飞行指引系统,34, 导航系统
737-678,342900,instrument comparator system,仪表比较系统,34, 导航系统
737-678,343000,landing and taxiing aids,辅助着陆与滑行系统,34, 导航系统
737-678,343100,instrument landing system,仪表着陆系统,34, 导航系统
737-678,343200,marker beacon system,指点信标系统,34, 导航系统
737-678,343300,low range radio altimeter system,短距无线电高度表系统,34, 导航系统
737-678,343600,head-up display,抬头显示器,34, 导航系统
737-678,343800,ground-maneuvering camera system,地面景观摄像系统,34, 导航系统
737-678,344000,independent position determining,独立位置决策,34, 导航系统
737-678,344300,weather radar system,气象雷达系统,34, 导航系统
737-678,344500,traffic alert and collision avoidance sy,交通警告与防撞系统,34, 导航系统
737-678,344600,ground proximity warning system,近地警告系统,34, 导航系统
737-678,345000,dependent position determining,独立位置决策,34, 导航系统
737-678,345100,vor system,vor系统,34, 导航系统
737-678,345200,identification friend-or-foe (iff) syste,敌我识别系统,34, 导航系统
737-678,345300,atc system,空中交通控制系统,34, 导航系统
737-678,345400,tacan system,塔康导航系统,34, 导航系统
737-678,345500,distance measuring equipment  system,测距设备系统,34, 导航系统
737-678,345700,automatic direction finder (adf) system,自动测向系统,34, 导航系统
737-678,345800,global positioning system (gps),全球定位系统,34, 导航系统
737-678,345900,omega navigation system,欧米茄导航系统,34, 导航系统
737-678,346000,flight management computing,飞行管理计算机,34, 导航系统
737-678,346100,flight management computer system (fmcs),飞行管理计算机系统,34, 导航系统
737-678,350000,oxygen,氧气,35, 氧气系统
737-678,351000,crew,机组氧气,35, 氧气系统
737-678,351200,flight crew oxygen system,机组氧气系统,35, 氧气系统
737-678,352000,passenger,旅客氧气,35, 氧气系统
737-678,352100,passenger oxygen system (gaseous),旅客氧气系统(气瓶式),35, 氧气系统
737-678,352200,passenger oxygen system (chemical genera,旅客氧气系统(化学发生器),35, 氧气系统
737-678,353000,portable,便携式氧气瓶,35, 氧气系统
737-678,353100,portable oxygen equipment,便携式氧气设备,35, 氧气系统
737-678,356000,supplementary oxygen systems,辅助氧气设备,35, 氧气系统
737-678,356100,medical oxygen system,医疗氧气设备,35, 氧气系统
737-678,360000,pneumatic,气源系统,36, 气源系统
737-678,361000,distribution,分配,36, 气源系统
737-678,361100,engine bleed air distribution system,发动机引气系统,36, 气源系统
737-678,361200,bleed air precooler system,发动机引气预冷器系统,36, 气源系统
737-678,361300,pneumatic manifold system,气源总管系统,36, 气源系统
737-678,361400,apu bleed system,apu引气,36, 气源系统
737-678,362000,indicating,引气指示系统,36, 气源系统
737-678,362100,pressure indicating system,引气压力指示,36, 气源系统
737-678,362200,temperature indicating system,引气温度指示,36, 气源系统
737-678,380000,water / waste,水系统,38, 水/废水系统
737-678,381000,potable,饮用水系统,38, 水/废水系统
737-678,381100,passenger water system,旅客水系统,38, 水/废水系统
737-678,381300,water heating,水加温,38, 水/废水系统
737-678,381400,water quantity indication system,水量指示,38, 水/废水系统
737-678,382000,wash,清洗,38, 水/废水系统
737-678,383000,waste disposal,废物处理系统,38, 水/废水系统
737-678,383100,gray water/drain system,灰水/排放系统,38, 水/废水系统
737-678,383200,vacuum waste system,真空马桶系统,38, 水/废水系统
